,Unnamed: 0,coder,date,newsnm,rptmm,rptdd,rptyy,evmm,evdd,evyy,days,eventid,stories,title,followup,who,what,where,against,purpose,whysm,page,section,paragrph,staten,state1,state2,state3,state4,cityn,city1,city2,neighn,neighbr,particd,particex,partices,groups,igrp1c1,igrp1c2,igrp2c1,igrp2c2,igrp3c1,igrp3c2,targd,targnum,targ1,targ2,ertarg1,ertarg2,smonamed,smonum,smoname1,smoname2,smoname3,smoname4,claim1,val1,claim2,val2,claim3,val3,claim4,val4,form1,form2,form3,form4,act1,act2,act3,act4,viold,violtype,counterd,police1,police2,police3,police4,arrestd,arrestex,arrestes,propdam,dollars,injury,deaths,d_eventid,flag_followup,injprot,injprot_est,injby,injby_est,injpol,injpol_est,injoth,injoth_est,dthprot,dthprot_est,dthby,dthby_est,dthpol,dthpol_est,dthoth,dthoth_est,agenda_code,matchtext,textfile
1,19121,BELINDA SICHULA,15501,NYT,1,1,1987,12,31,1986,1,8701002,1,"23 BLACK LEADERS AND KOCH ATTACK ""PERVASIVE"" RACISM",0,NYC MAYOR AND CIVIL RIGHTS LEADERS,NEWS CONFERENCE,"CITY HALL, NYC, NY",RACISTS,PROMOTE RACIAL HARMONY AND ELIMINATE RACIAL DISCRIMINATION IN NYC,"COLLECTIVE, CLAIMS MADE, PUBLIC",1,A,33,1,NY,,,,1,NEW YORK,,1,CITY HALL,0,-999,1,1,1000,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,,,,,2504,2,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,23 black leaders and koch attack pervasive racism,1987/01/01/0000200.xml
4,19126,BELINDA SICHULA,15501,NYT,1,7,1987,1,6,1987,1,8701007,1,BLACK COALITION URGES A BOYCOTT OF BUSINESSES,0,BLACK COMMUNITY AND CIVIL RIGHTS LEADERS,NEWS CONFERENCE,"BEDFORD-STUYVESANT SECTION BROOKLYN, NYC, NY",WHITE BUSINESSES AND WHITE SUPREMISTS,ANNOUNCE PLANS OF 1/21/87 BOYCOTT OF WHITE BUSINESSES,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,B,13,1,NY,,,,1,NEW YORK,,1,BEDFORD-STUYVESANT,0,-999,1,1,401,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,1,3,BROOKLYN CONGRESS OF RACIAL EQUALITY,OUR LADY OF CHARITY CHURCH,NEW YORK BLACK AND PUERTO RICAN CAUCUS,,2504,2,-999,-999,-999,-999,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,black coalition urges a boycott of businesses,1987/01/07/0001694.xml
5,19127,BELINDA SICHULA,15501,NYT,1,9,1987,1,4,1987,1,8701008,1,BLACK MANS DEATH IN AN UPSTATE CITY IGNITED DEBATE ABOUT RACIAL CLIMATE,0,BLACK RESIDENTS,RALLY,"CITY HALL, MIDDLETOWN, NY",POLICE,PROTESTING 2 POLICE OFFICERS WHO KILLED BLACK MAN DURING ARREST,"COLLECTIVE, CLAIMS MADE, PUBLIC",5,B,29,1,NY,,,,1,MIDDLETOWN,,-999,,1,200,-999,1,401,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,0,-999,,,,,1518,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,99,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,black mans death in an upstate city ignited debate about racial climate,1987/01/09/0002099.xml
6,19128,BELINDA SICHULA,15501,NYT,1,14,1987,-999,-999,-999,1,8701009,1,HISPANIC UNITS PROTEST ATTACK ON 2 IN QUEENS,1,COALITION FOR RACIAL JUSTICE- CIVIL RIGHTS GROUP,NEWS CONFERENCE,"NYC, NY MANHATTAN, 99 HUDSON ST., PUERTO RICAN LEGAL DEFENSE AND EDUCATION FUND OFFICE","RACISM, POLICE, AND GOVERNMENT AND POLICY",PROTEST HOWARD BEACH AND ATTACK ON 2 HISPANICS IN QUEENS,"COLLECTIVE, CLAIMS MADE, PUBLIC",4,B,17,1,NY,,,,1,NEW YORK,,1,MANHATTAN,0,-999,1,1,402,-999,-999,-999,-999,-999,1,1,1,-999,-999,-999,1,1,COALITION FOR RACIAL JUSTICE,,,,2504,2,2505,2,2006,1,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,hispanic units protest attack on 2 in queens,1987/01/14/0003479.xml
8,19125,BELINDA SICHULA,15501,NYT,1,17,1987,1,16,1987,1,8701006,1,"CITING ATTACK IN QUEENS, JACKSON ASSAILS REAGAN",0,CIVIL RIGHTS LEADERS,NEWS CONFERENCE,"TRINITY CHURCH, LOWER MANHATTAN, NYC ,NY",,PROTEST HOWARD BEACH ATTACK AND OTHER RACIAL ATTACKS AND TO CELEBRATE DR. KINGS BIRTHDAY,"COLLECTIVE, CLAIMS MADE, PUBLIC",31,1,13,1,NY,,,,1,NEW YORK,,1,LOWER MANHATTAN,0,-999,1,1,401,-999,-999,-999,-999,-999,0,-999,-999,-999,-999,-999,0,-999,,,,,1500,1,2502,2,-999,-999,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,citing attack in queens jackson assails reagan,1987/01/17/0004382.xml
10,19133,BELINDA SICHULA,15502,NYT,1,19,1987,1,15,1987,1,8701015,1,SHOOTING OF INDIAN PROTESTED,0,BLACKS AND LUMBEE INDIANS,RALLY,"PEMBROKE, NC",POLICE,PROTEST FATAL SHOOTING OF INDIAN MAN BY POLICE,"COLLECTIVE, CLAIMS MADE, PUBLIC",15,A,5,1,NC,,,,1,PEMBROKE,,-999,,1,600,-999,2,435,-999,401,-999,-999,-999,1,1,1,-999,-999,-999,1,1,CITIZENS CONCERNED FOR BETTER GOVERNMENT,,,,1700,1,-999,-999,-999,-999,-999,-999,1,-999,-999,-999,99,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,shooting of indian protested,
11,19130,BELINDA SICHULA,15502,NYT,1,20,1987,1,19,1987,1,8701012,1,RIGHTS LEADERS PLANNING SECOND MARCH IN GEORGIA,0,CIVIL RIGHTS LEADERS,NEWS CONFERENCE,FORSYTH COUNTY,RACISM AND RACISTS,PROTEST COUNTER-DEMONSTRATION OF WHITES AT CIVIL RIGHTA MARCH ON 1/17/87,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,B,9,1,GA,,,,1,FORSYTH COUNTY,,-999,,1,50,-999,1,401,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,2502,2,2504,2,-999,-999,-999,-999,15,-999,-999,-999,34,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,rights leaders planning second march in georgia,1987/01/20/0005313.xml
13,19135,BELINDA SICHULA,15502,NYT,1,20,1987,1,19,1987,1,8701017,1,RACIAL VIOLENCE A FOCUS AS DR. KING IS HONORED,0,BLACKS,MARCH,"FLUSHING, QUEENS, NYC, NY",RACISTS AND LANDLORDS WHO RAISED RENTS ON POOR AND ELDERLY,COMMEMERATE KINGS BIRTHDAY AND SUPPORT RENT STRIKE BY POOR AND ELDERLY,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,B,19,1,NY,,,,1,NEW YORK,,1,"FLUSHING, QUEENS",1,30,-999,1,401,-999,-999,-999,-999,-999,1,1,2,-999,-999,-999,1,1,EDENEZER MISSION BAPTIST CHURCH,,,,1506,1,1318,1,1311,3,-999,-999,2,-999,-999,-999,22,27,42,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,racial violence a focus as dr king is honored,1987/01/20/0005262.xml
14,19136,BELINDA SICHULA,15502,NYT,1,20,1987,-999,-999,1986,365,8701018,1,RACIAL VIOLENCE A FOCUS AS DR. KING IS HONORED,1,RESIDENTS,RENT STRIKE LASTING OVER A YEAR,"FLUSHING, QUEENS, NYC, NY",LANDLORDS,PROTEST RENT RAISES FOR POOR AND ELDERLY,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,B,19,1,NY,,,,1,NEW YORK,,1,"FLUSHING, QUEENS",0,-999,4,4,401,-999,1900,-999,1300,-999,1,1,2,-999,-999,-999,0,-999,,,,,1311,3,1318,1,2900,1,-999,-999,14,-999,-999,-999,54,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1409,racial violence a focus as dr king is honored,1987/01/20/0005262.xml
15,19137,BELINDA SICHULA,15502,NYT,1,20,1987,1,19,1987,1,8701019,1,RACIAL VIOLENCE A FOCUS AS DR. KING IS HONORED,0,BLACKS,MARCH,"FROM ATLANTIC AVE TO NEW YORK STOCK EXCHANGE, NYC, NY",RACISTS,PROTEST RACISM AND COMMEMORATE KINGS BIRTHDAY,"COLLECTIVE, CLAIMS MADE, PUBLIC",3,B,19,1,NY,,,,1,NEW YORK,,-999,,1,100,-999,1,401,1100,-999,-999,-999,-999,1,1,2,-999,-999,-999,0,-999,,,,,2502,2,2504,2,-999,-999,-999,-999,2,-999,-999,-999,22,-999,-999,-999,0,-999,0,0,-999,0,0,-999,-999,-999,0,-999,0,0,,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,201,racial violence a focus as dr king is honored,1987/01/20/0005262.xml
